a:8:{s:6:"config";a:5:{s:10:"phpVersion";s:6:"5.5.31";s:10:"yiiVersion";s:5:"2.0.7";s:11:"application";a:4:{s:3:"yii";s:5:"2.0.7";s:4:"name";s:14:"My Application";s:3:"env";s:3:"dev";s:5:"debug";b:1;}s:3:"php";a:4:{s:7:"version";s:6:"5.5.31";s:6:"xdebug";b:0;s:3:"apc";b:0;s:8:"memcache";b:0;}s:10:"extensions";a:6:{s:24:"yiisoft/yii2-swiftmailer";a:3:{s:4:"name";s:24:"yiisoft/yii2-swiftmailer";s:7:"version";s:7:"2.0.4.0";s:5:"alias";a:1:{s:16:"@yii/swiftmailer";s:59:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-swiftmailer";}}s:24:"yiisoft/yii2-codeception";a:3:{s:4:"name";s:24:"yiisoft/yii2-codeception";s:7:"version";s:7:"2.0.4.0";s:5:"alias";a:1:{s:16:"@yii/codeception";s:59:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-codeception";}}s:22:"yiisoft/yii2-bootstrap";a:3:{s:4:"name";s:22:"yiisoft/yii2-bootstrap";s:7:"version";s:7:"2.0.5.0";s:5:"alias";a:1:{s:14:"@yii/bootstrap";s:57:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-bootstrap";}}s:18:"yiisoft/yii2-debug";a:3:{s:4:"name";s:18:"yiisoft/yii2-debug";s:7:"version";s:7:"2.0.5.0";s:5:"alias";a:1:{s:10:"@yii/debug";s:53:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-debug";}}s:16:"yiisoft/yii2-gii";a:3:{s:4:"name";s:16:"yiisoft/yii2-gii";s:7:"version";s:7:"2.0.4.0";s:5:"alias";a:1:{s:8:"@yii/gii";s:51:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-gii";}}s:18:"yiisoft/yii2-faker";a:3:{s:4:"name";s:18:"yiisoft/yii2-faker";s:7:"version";s:7:"2.0.3.0";s:5:"alias";a:1:{s:10:"@yii/faker";s:53:"/Users/cc/Sites/wifiservice/vendor/yiisoft/yii2-faker";}}}}s:7:"request";a:14:{s:7:"flashes";a:0:{}s:10:"statusCode";i:200;s:14:"requestHeaders";a:8:{s:4:"host";s:9:"localhost";s:10:"connection";s:10:"keep-alive";s:13:"cache-control";s:9:"max-age=0";s:6:"accept";s:74:"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8";s:25:"upgrade-insecure-requests";s:1:"1";s:10:"user-agent";s:121:"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36";s:15:"accept-encoding";s:19:"gzip, deflate, sdch";s:15:"accept-language";s:14:"en-US,en;q=0.8";}s:15:"responseHeaders";a:2:{s:12:"X-Powered-By";s:10:"PHP/5.5.31";s:12:"Content-Type";s:24:"text/html; charset=UTF-8";}s:5:"route";s:12:"wifi/payment";s:6:"action";s:47:"app\controllers\WifiController::actionPayment()";s:12:"actionParams";a:0:{}s:11:"requestBody";a:0:{}s:6:"SERVER";a:35:{s:15:"REDIRECT_STATUS";s:3:"200";s:9:"HTTP_HOST";s:9:"localhost";s:15:"HTTP_CONNECTION";s:10:"keep-alive";s:18:"HTTP_CACHE_CONTROL";s:9:"max-age=0";s:11:"HTTP_ACCEPT";s:74:"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8";s:30:"HTTP_UPGRADE_INSECURE_REQUESTS";s:1:"1";s:15:"HTTP_USER_AGENT";s:121:"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36";s:20:"HTTP_ACCEPT_ENCODING";s:19:"gzip, deflate, sdch";s:20:"HTTP_ACCEPT_LANGUAGE";s:14:"en-US,en;q=0.8";s:4:"PATH";s:29:"/usr/bin:/bin:/usr/sbin:/sbin";s:16:"SERVER_SIGNATURE";s:0:"";s:15:"SERVER_SOFTWARE";s:31:"Apache/2.4.18 (Unix) PHP/5.5.31";s:11:"SERVER_NAME";s:9:"localhost";s:11:"SERVER_ADDR";s:3:"::1";s:11:"SERVER_PORT";s:2:"80";s:11:"REMOTE_ADDR";s:3:"::1";s:13:"DOCUMENT_ROOT";s:16:"/Users/cc/Sites/";s:14:"REQUEST_SCHEME";s:4:"http";s:14:"CONTEXT_PREFIX";s:0:"";s:21:"CONTEXT_DOCUMENT_ROOT";s:16:"/Users/cc/Sites/";s:12:"SERVER_ADMIN";s:15:"vin_120@163.com";s:15:"SCRIPT_FILENAME";s:41:"/Users/cc/Sites/wifiservice/web/index.php";s:11:"REMOTE_PORT";s:5:"52365";s:12:"REDIRECT_URL";s:29:"/wifiservice/web/wifi/payment";s:17:"GATEWAY_INTERFACE";s:7:"CGI/1.1";s:15:"SERVER_PROTOCOL";s:8:"HTTP/1.1";s:14:"REQUEST_METHOD";s:3:"GET";s:12:"QUERY_STRING";s:0:"";s:11:"REQUEST_URI";s:29:"/wifiservice/web/wifi/payment";s:11:"SCRIPT_NAME";s:26:"/wifiservice/web/index.php";s:9:"PATH_INFO";s:13:"/wifi/payment";s:15:"PATH_TRANSLATED";s:28:"/Users/cc/Sites/wifi/payment";s:8:"PHP_SELF";s:39:"/wifiservice/web/index.php/wifi/payment";s:18:"REQUEST_TIME_FLOAT";d:1460534444.655;s:12:"REQUEST_TIME";i:1460534444;}s:3:"GET";a:0:{}s:4:"POST";a:0:{}s:6:"COOKIE";a:0:{}s:5:"FILES";a:0:{}s:7:"SESSION";a:0:{}}s:3:"log";a:1:{s:8:"messages";a:18:{i:0;a:5:{i:0;s:33:"Bootstrap with yii\log\Dispatcher";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1460534444.6638501;i:4;a:0:{}}i:1;a:5:{i:0;s:21:"Loading module: debug";i:1;i:8;i:2;s:26:"yii\base\Module::getModule";i:3;d:1460534444.6638851;i:4;a:0:{}}i:2;a:5:{i:0;s:44:"Bootstrap with yii\debug\Module::bootstrap()";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1460534444.6663959;i:4;a:0:{}}i:3;a:5:{i:0;s:19:"Loading module: gii";i:1;i:8;i:2;s:26:"yii\base\Module::getModule";i:3;d:1460534444.6677749;i:4;a:0:{}}i:4;a:5:{i:0;s:42:"Bootstrap with yii\gii\Module::bootstrap()";i:1;i:8;i:2;s:31:"yii\base\Application::bootstrap";i:3;d:1460534444.6679909;i:4;a:0:{}}i:5;a:5:{i:0;s:55:"No matching URL rules. Using default URL parsing logic.";i:1;i:8;i:2;s:32:"yii\web\UrlManager::parseRequest";i:3;d:1460534444.668906;i:4;a:0:{}}i:6;a:5:{i:0;s:31:"Route requested: 'wifi/payment'";i:1;i:8;i:2;s:34:"yii\web\Application::handleRequest";i:3;d:1460534444.668926;i:4;a:0:{}}i:7;a:5:{i:0;s:26:"Route to run: wifi/payment";i:1;i:8;i:2;s:30:"yii\base\Controller::runAction";i:3;d:1460534444.6701839;i:4;a:0:{}}i:8;a:5:{i:0;s:63:"Running action: app\controllers\WifiController::actionPayment()";i:1;i:8;i:2;s:36:"yii\base\InlineAction::runWithParams";i:3;d:1460534444.670315;i:4;a:0:{}}i:9;a:5:{i:0;s:149:" SELECT a.sale_price ,b.wifi_name 
		VALUES('ED2016344446901085','123456','zhangsan','100','2016-04-13 04:00:44')";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8542449;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:134;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:207;s:8:"function";s:15:"writePayLogToDB";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:27;a:5:{i:0;s:162:" INSERT INTO `wifi_pay_log` (`check_num`,`passport_num`,`name`,`amount`,`pay_time`)
		VALUES('ED2016344446901085','123456','zhangsan','100','2016-04-13 04:00:44')";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8572421;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:134;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:207;s:8:"function";s:15:"writePayLogToDB";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:29;a:5:{i:0;s:72:"UPDATE wifi_info SET time='2016-04-13 04:00:44'  WHERE wifi_info_id='86'";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8593321;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:81;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:71;s:8:"function";s:15:"setWifiInfoTime";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:30;a:5:{i:0;s:72:"UPDATE wifi_info SET time='2016-04-13 04:00:44'  WHERE wifi_info_id='86'";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8631141;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:81;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:71;s:8:"function";s:15:"setWifiInfoTime";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:32;a:5:{i:0;s:97:" INSERT INTO `wifi_item_status` (passport_num,wifi_info_id,pay_log_id) VALUES('123456','86','16')";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.863308;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:89;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:73;s:8:"function";s:12:"wifiItemSave";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:33;a:5:{i:0;s:97:" INSERT INTO `wifi_item_status` (passport_num,wifi_info_id,pay_log_id) VALUES('123456','86','16')";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.866982;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:89;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:73;s:8:"function";s:12:"wifiItemSave";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}}}s:2:"db";a:1:{s:8:"messages";a:14:{i:13;a:5:{i:0;s:149:" SELECT a.sale_price ,b.wifi_name 
			FROM wifi_item a ,wifi_item_language b 
			WHERE a.wifi_id = b.wifi_id 
			AND a.wifi_id ='2' AND b.iso='zh_cn'";i:1;i:80;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.685885;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:14;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:73;s:8:"function";s:11:"getWifiItem";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:14;a:5:{i:0;s:149:" SELECT a.sale_price ,b.wifi_name 
			FROM wifi_item a ,wifi_item_language b 
			WHERE a.wifi_id = b.wifi_id 
			AND a.wifi_id ='2' AND b.iso='zh_cn'";i:1;i:96;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.6895931;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:14;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:73;s:8:"function";s:11:"getWifiItem";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:16;a:5:{i:0;s:78:"SELECT wifi_info_id FROM wifi_info WHERE wifi_id='2' AND status_sale=0 LIMIT 1";i:1;i:80;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.6902511;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:45;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:78;s:8:"function";s:19:"CheckCardAndSetSold";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:17;a:5:{i:0;s:78:"SELECT wifi_info_id FROM wifi_info WHERE wifi_id='2' AND status_sale=0 LIMIT 1";i:1;i:96;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.694073;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:45;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:78;s:8:"function";s:19:"CheckCardAndSetSold";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:19;a:5:{i:0;s:60:"UPDATE wifi_info SET status_sale='1' WHERE wifi_info_id='86'";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.6942599;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:48;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:78;s:8:"function";s:19:"CheckCardAndSetSold";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:20;a:5:{i:0;s:60:"UPDATE wifi_info SET status_sale='1' WHERE wifi_info_id='86'";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.847796;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:48;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:78;s:8:"function";s:19:"CheckCardAndSetSold";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:22;a:5:{i:0;s:37:"SELECT type FROM ibs_pay WHERE id = 1";i:1;i:80;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.847995;i:4;a:2:{i:0;a:5:{s:4:"file";s:50:"/Users/cc/Sites/wifiservice/components/WifiPay.php";s:4:"line";i:73;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:81;s:8:"function";s:8:"isIBSPay";s:5:"class";s:22:"app\components\WifiPay";s:4:"type";s:2:"::";}}}i:23;a:5:{i:0;s:37:"SELECT type FROM ibs_pay WHERE id = 1";i:1;i:96;i:2;s:21:"yii\db\Command::query";i:3;d:1460534444.8508601;i:4;a:2:{i:0;a:5:{s:4:"file";s:50:"/Users/cc/Sites/wifiservice/components/WifiPay.php";s:4:"line";i:73;s:8:"function";s:8:"queryOne";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:81;s:8:"function";s:8:"isIBSPay";s:5:"class";s:22:"app\components\WifiPay";s:4:"type";s:2:"::";}}}i:26;a:5:{i:0;s:162:" INSERT INTO `wifi_pay_log` (`check_num`,`passport_num`,`name`,`amount`,`pay_time`)
		VALUES('ED2016344446901085','123456','zhangsan','100','2016-04-13 04:00:44')";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8542449;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:134;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:207;s:8:"function";s:15:"writePayLogToDB";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:27;a:5:{i:0;s:162:" INSERT INTO `wifi_pay_log` (`check_num`,`passport_num`,`name`,`amount`,`pay_time`)
		VALUES('ED2016344446901085','123456','zhangsan','100','2016-04-13 04:00:44')";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8572421;i:4;a:2:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:134;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:207;s:8:"function";s:15:"writePayLogToDB";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:29;a:5:{i:0;s:72:"UPDATE wifi_info SET time='2016-04-13 04:00:44'  WHERE wifi_info_id='86'";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8593321;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:81;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:71;s:8:"function";s:15:"setWifiInfoTime";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:30;a:5:{i:0;s:72:"UPDATE wifi_info SET time='2016-04-13 04:00:44'  WHERE wifi_info_id='86'";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.8631141;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:81;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:71;s:8:"function";s:15:"setWifiInfoTime";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:32;a:5:{i:0;s:97:" INSERT INTO `wifi_item_status` (passport_num,wifi_info_id,pay_log_id) VALUES('123456','86','16')";i:1;i:80;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.863308;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:89;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:73;s:8:"function";s:12:"wifiItemSave";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}i:33;a:5:{i:0;s:97:" INSERT INTO `wifi_item_status` (passport_num,wifi_info_id,pay_log_id) VALUES('123456','86','16')";i:1;i:96;i:2;s:23:"yii\db\Command::execute";i:3;d:1460534444.866982;i:4;a:3:{i:0;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:89;s:8:"function";s:7:"execute";s:5:"class";s:14:"yii\db\Command";s:4:"type";s:2:"->";}i:1;a:5:{s:4:"file";s:47:"/Users/cc/Sites/wifiservice/components/Wifi.php";s:4:"line";i:73;s:8:"function";s:12:"wifiItemSave";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}i:2;a:5:{s:4:"file";s:58:"/Users/cc/Sites/wifiservice/controllers/WifiController.php";s:4:"line";i:210;s:8:"function";s:11:"wifiCardBuy";s:5:"class";s:19:"app\components\Wifi";s:4:"type";s:2:"::";}}}}}s:6:"assets";a:0:{}s:4:"mail";a:0:{}s:7:"summary";a:9:{s:3:"tag";s:13:"570dfcaca2c47";s:3:"url";s:45:"http://localhost/wifiservice/web/wifi/payment";s:4:"ajax";i:0;s:6:"method";s:3:"GET";s:2:"ip";s:3:"::1";s:4:"time";i:1460534444;s:10:"statusCode";i:200;s:8:"sqlCount";i:7;s:9:"mailCount";i:0;}}
